municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square meters,square meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
161,Ejerlejlighed,"Hovedvejen 60B, 1. th",2600, Glostrup,322500,1994-02-21,Alm. Salg,52,6202,2,1943,
161,Ejerlejlighed,"Byparkvej 4, 2. th",2600, Glostrup,375000,1994-02-21,Alm. Salg,61,6148,2,1975,
161,Villa,Rosenvej 7,2600, Glostrup,248338,1994-02-20,Andet,111,2237,4,1931,
161,Villa,Brandsbjergvej 55,2600, Glostrup,1176658,1994-02-19,Alm. Salg,132,8914,4,1969,
161,Villa,Nørre Alle 46,2600, Glostrup,1093000,1994-02-17,Alm. Salg,191,5723,7,1953,
161,Ejerlejlighed,"Nordre Ringvej 6, st. th",2600, Glostrup,209664,1994-02-16,Auktion,67,3129,3,1940,
161,Villa,Stjernevangen 1B,2600, Glostrup,583280,1994-02-15,Alm. Salg,124,4704,6,1956,
161,Villa,Brandsbjergvej 48,2600, Glostrup,425000,1994-02-15,Alm. Salg,180,2361,5,1996,
161,Ejerlejlighed,"Østervej 41, 2. tv",2600, Glostrup,543002,1994-02-14,Alm. Salg,81,6704,3,1959,
161,Ejerlejlighed,"Gyvelvej 20, st. tv",2600, Glostrup,349500,1994-02-13,Alm. Salg,77,4539,3,1961,
161,Villa,Sofielundsvej 15,2600, Glostrup,493860,1994-02-10,Alm. Salg,151,3271,6,2008,
161,Ejerlejlighed,"Hovedvejen 154, 4. 32",2600, Glostrup,421469,1994-02-09,Alm. Salg,69,6108,2,1978,
161,Villa,Østerager 10,2600, Glostrup,1178000,1994-02-08,Alm. Salg,99,11899,3,1994,
161,Villa,Ejbydalsvej 12,2600, Glostrup,519000,1994-02-08,Auktion,134,3873,5,1953,
161,Ejerlejlighed,"Dalvangsvej 13, 1. 12",2600, Glostrup,250000,1994-02-05,Alm. Salg,50,5000,2,1967,
161,Villa,Enighedsvej 20,2600, Glostrup,573000,1994-02-05,Alm. Salg,73,7849,3,1949,
161,Villa,Magleholm 9,2600, Glostrup,840000,1994-02-05,Alm. Salg,128,6563,4,1979,
