municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square meters,square meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
165,Villa,Blankager 27,2620, Albertslund,2950000,2008-04-21,Alm. Salg,140,21071,5,1972,-9%
165,Villa,Lodager 49,2620, Albertslund,1665000,2008-04-18,Andet,171,9737,4,1967,
165,Rækkehus,Robinievej 112,2620, Albertslund,2850000,2008-04-13,Alm. Salg,131,21756,5,2008,
165,Villa,Porsager 45,2620, Albertslund,2825000,2008-04-09,Alm. Salg,143,19755,5,1970,-9%
165,Villa,Enebærhaven 3,2620, Albertslund,2800000,2008-04-08,Alm. Salg,136,20588,5,1971,-10%
165,Rækkehus,Elmehusene 202,2600, Glostrup,1925000,2008-04-05,Alm. Salg,96,20052,4,1968,-8%
165,Villa,Damgårdsvej 7,2620, Albertslund,2345000,2008-04-04,Alm. Salg,125,18760,3,1929,
165,Ejerlejlighed,Mölndalsparken 73,2620, Albertslund,1750000,2008-04-02,Alm. Salg,67,26119,3,1986,-3%
165,Villa,Storstræde 39,2620, Albertslund,3050000,2008-04-02,Alm. Salg,153,19935,5,1850,-5%
165,Rækkehus,Tranehusene 48,2620, Albertslund,2250000,2008-03-31,Alm. Salg,108,20833,4,1972,-2%
