,muni_code,year,kont_recip_tot
878,330,2021,2887
879,330,2022,2644
494,336,1994,447
495,336,1995,546
496,336,1996,506
497,336,1997,510
498,336,1998,490
499,336,1999,512
500,336,2000,457
501,336,2001,472
502,336,2002,484
503,336,2003,554
504,336,2004,491
505,336,2005,536
506,336,2006,497
880,336,2007,507
881,336,2008,511
882,336,2009,615
883,336,2010,709
884,336,2011,711
885,336,2012,772
886,336,2013,876
887,336,2014,949
888,336,2015,1006
889,336,2016,982
890,336,2017,886
891,336,2018,734
892,336,2019,616
893,336,2020,582
894,336,2021,486
895,336,2022,473
507,340,1994,877
508,340,1995,825
509,340,1996,764
510,340,1997,748
511,340,1998,754
512,340,1999,749
513,340,2000,714
514,340,2001,702
515,340,2002,711
516,340,2003,793
517,340,2004,771
518,340,2005,764
519,340,2006,704
896,340,2007,717
897,340,2008,761
898,340,2009,907
899,340,2010,997
900,340,2011,1066
901,340,2012,1119
902,340,2013,1262
903,340,2014,1276
904,340,2015,1273
905,340,2016,1165
906,340,2017,1033
907,340,2018,905
908,340,2019,835
909,340,2020,808
910,340,2021,671
911,340,2022,646
520,350,1994,9794
521,350,1995,9592
522,350,1996,9698
523,350,1997,10013
524,350,1998,10587
525,350,1999,10745
526,350,2000,10723
527,350,2001,10741
528,350,2002,10588
529,350,2003,10669
530,350,2004,10234
531,350,2005,9875
532,350,2006,9236
912,350,2007,443
913,350,2008,429
914,350,2009,489
915,350,2010,582
916,350,2011,636
917,350,2012,677
918,350,2013,711
919,350,2014,772
920,350,2015,799
921,350,2016,698
922,350,2017,584
923,350,2018,465
924,350,2019,392
925,350,2020,329
926,350,2021,310
927,350,2022,356
533,360,1994,1923
534,360,1995,1985
535,360,1996,2070
536,360,1997,2387
537,360,1998,2627
538,360,1999,2722
539,360,2000,2923
540,360,2001,2946
541,360,2002,2753
542,360,2003,2792
543,360,2004,2619
544,360,2005,2462
545,360,2006,2325
928,360,2007,2516
929,360,2008,2333
930,360,2009,2288
931,360,2010,2385
932,360,2011,2437
933,360,2012,2430
934,360,2013,2680
935,360,2014,2659
936,360,2015,2740
937,360,2016,2815
938,360,2017,2672
939,360,2018,2452
940,360,2019,2317
941,360,2020,2180
942,360,2021,1866
943,360,2022,1736
546,370,1994,2895
547,370,1995,2790
548,370,1996,2750
