,muni_code,year,kont_recip_tot
765,307,2005,184
766,307,2006,181
767,309,1994,199
768,309,1995,155
769,309,1996,168
770,309,1997,165
771,309,1998,184
772,309,1999,196
773,309,2000,197
774,309,2001,191
775,309,2002,189
776,309,2003,186
777,309,2004,204
778,309,2005,228
779,309,2006,193
780,311,1994,158
781,311,1995,138
782,311,1996,130
783,311,1997,179
784,311,1998,145
785,311,1999,133
786,311,2000,139
787,311,2001,144
788,311,2002,124
789,311,2003,116
790,311,2004,133
791,311,2005,109
792,311,2006,107
793,313,1994,503
794,313,1995,427
795,313,1996,433
796,313,1997,446
797,313,1998,402
798,313,1999,407
799,313,2000,391
800,313,2001,401
801,313,2002,392
802,313,2003,408
803,313,2004,438
804,313,2005,428
805,313,2006,454
806,315,1994,1735
807,315,1995,1632
808,315,1996,1487
809,315,1997,1434
810,315,1998,1412
811,315,1999,1415
812,315,2000,1423
813,315,2001,1366
814,315,2002,1386
815,315,2003,1255
816,315,2004,1195
817,315,2005,1074
818,315,2006,1104
800,316,2007,2205
801,316,2008,2116
802,316,2009,2506
803,316,2010,2671
804,316,2011,2733
805,316,2012,2829
806,316,2013,2992
807,316,2014,3091
808,316,2015,3296
809,316,2016,3150
810,316,2017,2764
811,316,2018,2495
812,316,2019,2251
813,316,2020,2083
814,316,2021,1770
815,316,2022,1621
